epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-23,29,MS,Água Clara,5000203,city,6,38.65481,0,0,0,0.0,15522,False,True
26,2020-06-23,85,MS,Alcinópolis,5000252,city,1,18.71608,0,0,0,0.0,5343,False,True
26,2020-06-23,45,MS,Amambai,5000609,city,13,32.99827,0,0,0,0.0,39396,False,True
26,2020-06-23,29,MS,Anastácio,5000708,city,3,11.93555,0,1,0,0.3333,25135,False,True
26,2020-06-23,15,MS,Angélica,5000856,city,4,37.10575,0,0,0,0.0,10780,False,True
26,2020-06-23,21,MS,Aparecida do Taboado,5001003,city,8,31.07399,0,0,0,0.0,25745,False,True
26,2020-06-23,25,MS,Aquidauana,5001102,city,1,2.08895,0,0,0,0.0,47871,False,True
26,2020-06-23,6,MS,Bandeirantes,5001508,city,2,29.46376,0,0,0,0.0,6788,False,True
26,2020-06-23,65,MS,Bataguassu,5001904,city,22,95.55247,0,0,0,0.0,23024,False,True
26,2020-06-23,89,MS,Batayporã,5002001,city,10,88.26904,0,2,0,0.2,11329,False,True
26,2020-06-23,47,MS,Bela Vista,5002100,city,2,8.12051,0,0,0,0.0,24629,False,True
26,2020-06-23,36,MS,Bodoquena,5002159,city,1,12.69841,0,0,0,0.0,7875,False,True
26,2020-06-23,47,MS,Bonito,5002209,city,66,300.32763,0,0,0,0.0,21976,False,True
26,2020-06-23,50,MS,Brasilândia,5002308,city,17,143.19407,0,2,0,0.1176,11872,False,True
26,2020-06-23,32,MS,Caarapó,5002407,city,12,39.76934,0,0,0,0.0,30174,False,True
26,2020-06-23,40,MS,Camapuã,5002605,city,3,21.88024,0,0,0,0.0,13711,False,True
26,2020-06-23,102,MS,Campo Grande,5002704,city,1338,149.33336,0,8,0,0.006,895982,False,True
26,2020-06-23,15,MS,Caracol,5002803,city,12,196.20667,0,0,0,0.0,6116,False,True
26,2020-06-23,10,MS,Cassilândia,5002902,city,9,41.02284,0,0,0,0.0,21939,False,True
26,2020-06-23,80,MS,Chapadão do Sul,5002951,city,130,515.5048,0,0,0,0.0,25218,False,True
26,2020-06-23,21,MS,Corguinho,5003108,city,2,33.6304,0,0,0,0.0,5947,False,True
26,2020-06-23,78,MS,Corumbá,5003207,city,216,193.83497,0,6,0,0.0278,111435,False,True
26,2020-06-23,25,MS,Costa Rica,5003256,city,34,163.28099,0,0,0,0.0,20823,False,True
26,2020-06-23,72,MS,Coxim,5003306,city,10,29.81248,0,0,0,0.0,33543,False,True
26,2020-06-23,38,MS,Deodápolis,5003454,city,30,232.12628,0,1,0,0.0333,12924,False,True
26,2020-06-23,38,MS,Douradina,5003504,city,94,1586.7657,0,1,0,0.0106,5924,False,True
26,2020-06-23,88,MS,Dourados,5003702,city,1964,880.91895,0,13,0,0.0066,222949,False,True
26,2020-06-23,39,MS,Fátima do Sul,5003801,city,214,1115.22226,0,0,0,0.0,19189,False,True
26,2020-06-23,39,MS,Glória de Dourados,5004007,city,19,190.66734,0,1,0,0.0526,9965,False,True
26,2020-06-23,50,MS,Guia Lopes da Laguna,5004106,city,254,2566.95301,0,2,0,0.0079,9895,False,True
26,2020-06-23,15,MS,Iguatemi,5004304,city,8,49.75743,0,1,0,0.125,16078,False,True
26,2020-06-23,8,MS,Inocência,5004403,city,0,,0,0,0,0.0,7610,False,True
26,2020-06-23,37,MS,Itaporã,5004502,city,97,390.51492,0,3,0,0.0309,24839,False,True
26,2020-06-23,26,MS,Itaquiraí,5004601,city,13,61.48898,0,1,0,0.0769,21142,False,True
26,2020-06-23,30,MS,Ivinhema,5004700,city,29,125.07008,0,0,0,0.0,23187,False,True
26,2020-06-23,48,MS,Jardim,5005004,city,49,187.76105,0,0,0,0.0,26097,False,True
26,2020-06-23,52,MS,Jateí,5005103,city,5,124.16191,0,0,0,0.0,4027,False,True
26,2020-06-23,7,MS,Juti,5005152,city,1,14.89869,0,0,0,0.0,6712,False,True
26,2020-06-23,67,MS,Ladário,5005202,city,28,120.012,0,0,0,0.0,23331,False,True
26,2020-06-23,22,MS,Laguna Carapã,5005251,city,2,27.24424,0,0,0,0.0,7341,False,True
26,2020-06-23,29,MS,Maracaju,5005400,city,18,38.23036,0,0,0,0.0,47083,False,True
26,2020-06-23,69,MS,Miranda,5005608,city,2,7.13954,0,0,0,0.0,28013,False,True
26,2020-06-23,68,MS,Mundo Novo,5005681,city,37,201.45922,0,0,0,0.0,18366,False,True
26,2020-06-23,73,MS,Naviraí,5005707,city,79,143.95568,0,0,0,0.0,54878,False,True
26,2020-06-23,32,MS,Nova Alvorada do Sul,5006002,city,11,50.26963,0,0,0,0.0,21882,False,True
26,2020-06-23,85,MS,Nova Andradina,5006200,city,22,40.46051,0,0,0,0.0,54374,False,True
26,2020-06-23,13,MS,Novo Horizonte do Sul,5006259,city,10,262.19192,0,0,0,0.0,3814,False,True
26,2020-06-23,67,MS,Paraíso das Águas,5006275,city,5,90.009,0,0,0,0.0,5555,False,True
26,2020-06-23,74,MS,Paranaíba,5006309,city,120,284.71102,0,2,0,0.0167,42148,False,True
26,2020-06-23,40,MS,Paranhos,5006358,city,1,7.02839,0,0,0,0.0,14228,False,True
26,2020-06-23,95,MS,Ponta Porã,5006606,city,92,99.43151,0,1,0,0.0109,92526,False,True
26,2020-06-23,31,MS,Porto Murtinho,5006903,city,0,,0,0,0,0.0,17131,False,True
26,2020-06-23,47,MS,Ribas do Rio Pardo,5007109,city,12,48.75076,0,0,0,0.0,24615,False,True
26,2020-06-23,33,MS,Rio Brilhante,5007208,city,211,562.45668,0,2,0,0.0095,37514,False,True
26,2020-06-23,4,MS,Rio Negro,5007307,city,0,,0,0,0,0.0,4831,False,True
26,2020-06-23,89,MS,Rio Verde de Mato Grosso,5007406,city,7,35.45022,0,0,0,0.0,19746,False,True
26,2020-06-23,6,MS,Rochedo,5007505,city,3,54.55537,0,0,0,0.0,5499,False,True
26,2020-06-23,46,MS,São Gabriel do Oeste,5007695,city,93,347.39083,0,0,0,0.0,26771,False,True
26,2020-06-23,67,MS,Selvíria,5007802,city,2,30.63256,0,0,0,0.0,6529,False,True
26,2020-06-23,97,MS,Sidrolândia,5007901,city,11,19.0757,0,1,0,0.0909,57665,False,True
26,2020-06-23,78,MS,Sonora,5007935,city,29,150.46176,0,0,0,0.0,19274,False,True
26,2020-06-23,42,MS,Tacuru,5007950,city,4,34.62604,0,0,0,0.0,11552,False,True
26,2020-06-23,32,MS,Taquarussu,5007976,city,1,27.87068,0,0,0,0.0,3588,False,True
26,2020-06-23,18,MS,Terenos,5008008,city,3,13.75768,0,0,0,0.0,21806,False,True
26,2020-06-23,84,MS,Três Lagoas,5008305,city,219,180.41322,0,5,0,0.0228,121388,False,True
26,2020-06-23,43,MS,Vicentina,5008404,city,63,1032.44838,0,2,0,0.0317,6102,False,True
26,2020-06-23,102,MS,,50,state,5784,208.13347,0,55,0,0.0095,2778986,False,True
26,2020-06-22,28,MS,Água Clara,5000203,city,6,38.65481,0,0,0,0.0,15522,True,False
26,2020-06-22,84,MS,Alcinópolis,5000252,city,1,18.71608,0,0,0,0.0,5343,True,False
26,2020-06-22,44,MS,Amambai,5000609,city,13,32.99827,4,0,0,0.0,39396,True,False
26,2020-06-22,28,MS,Anastácio,5000708,city,3,11.93555,0,1,0,0.3333,25135,True,False
26,2020-06-22,14,MS,Angélica,5000856,city,4,37.10575,0,0,0,0.0,10780,True,False
26,2020-06-22,20,MS,Aparecida do Taboado,5001003,city,8,31.07399,0,0,0,0.0,25745,True,False
26,2020-06-22,24,MS,Aquidauana,5001102,city,1,2.08895,0,0,0,0.0,47871,True,False
26,2020-06-22,5,MS,Bandeirantes,5001508,city,2,29.46376,0,0,0,0.0,6788,True,False
26,2020-06-22,64,MS,Bataguassu,5001904,city,22,95.55247,1,0,0,0.0,23024,True,False
26,2020-06-22,88,MS,Batayporã,5002001,city,10,88.26904,0,2,0,0.2,11329,True,False
26,2020-06-22,46,MS,Bela Vista,5002100,city,2,8.12051,0,0,0,0.0,24629,True,False
26,2020-06-22,35,MS,Bodoquena,5002159,city,1,12.69841,0,0,0,0.0,7875,True,False
26,2020-06-22,46,MS,Bonito,5002209,city,66,300.32763,0,0,0,0.0,21976,True,False
26,2020-06-22,49,MS,Brasilândia,5002308,city,17,143.19407,1,2,0,0.1176,11872,True,False
26,2020-06-22,31,MS,Caarapó,5002407,city,12,39.76934,0,0,0,0.0,30174,True,False
26,2020-06-22,39,MS,Camapuã,5002605,city,3,21.88024,0,0,0,0.0,13711,True,False
26,2020-06-22,101,MS,Campo Grande,5002704,city,1338,149.33336,126,8,0,0.006,895982,True,False
26,2020-06-22,14,MS,Caracol,5002803,city,12,196.20667,0,0,0,0.0,6116,True,False
